,GeneSymb,MeanPval,OR_a,OR_d,OR_s,Pval,Ya,Yd,Ys,Score
464,DCUN1D1,-2.3332477909477696,-2.629326651273409,-1.1627658855913865,1.127252452119806,0.000439611,0.002342366663358641,0.06432213761100776,0.9305775228426647,0.7224838813497199
361,CEMIP,-2.968322671933015,-4.710929565192261,0.7535429410917244,-0.6210708827008882,0.000127978,1.9456377540671128e-05,0.8500631892177899,0.19308800260800169,0.7210850848329368
1702,CACNA1D,-2.576521620075299,-0.6214372621261388,-2.7575971106754418,-0.02757141380672432,0.000196406,0.19295659643387877,0.0017443942521965109,0.4841339469303504,0.7204931789362654
966,MICAL2,-2.7808434489284513,0.5957080800103072,-1.8138090183873838,-2.8053944879088037,0.00012793,0.7976495983257283,0.015120771814760315,0.001562882146421563,0.719839153416579
181,FBXL20,-3.158167882713701,-0.17404495327610867,-0.46361472150098876,-4.517832602996825,5.95738e-05,0.4011313613450562,0.2558764548474197,3.034968697196488e-05,0.7198352283945301
1909,FAM181A,-2.427766517102162,-2.153709200140574,-1.7283142917862038,0.8898837609574374,0.000635457,0.006970324977901211,0.018350261744998167,0.8858498806186876,0.7151933033895244
1891,MAP3K11,-1.9466046648445825,1.4583050690679078,-1.975351105600107,-1.0318076411082022,0.00161162,0.9663616550447814,0.010473129803441793,0.08503484310673619,0.7151600528155577
87,ATP1A3,-1.994582320224167,-0.021378086764143083,-5.160491151784125,3.4838180388422195,0.00110551,0.48769626834262836,6.910442330807353e-06,0.9996718749137866,0.714282626827742
1956,FAM13A,-2.6944917926180243,-0.02546290795732197,-1.8711120952893372,-1.9028541541210122,0.000142942,0.4853465693302982,0.013276493257487393,0.012352302015857894,0.7140077034144002
1033,TNPO3,-1.9251880114797433,-1.239400865407555,-1.038390000441183,0.7809454329579437,8.69545e-05,0.05448388525976973,0.08386300507599209,0.8579288658674462,0.7131197669247392
1920,NISCH,-2.0420547074136697,-3.433100126084512,-0.9931728723548512,2.5636842142478415,0.000227058,0.00036875650949617423,0.09221664985076623,0.9972764750369264,0.7105958896749145
662,COBLL1,-2.827689034391169,-3.9741160511157574,-0.5482038847145126,0.30268817987364044,0.000107109,0.00010612992438308918,0.22058060510542205,0.667514594998736,0.7105725578694796
252,PPP1R18,-1.6084180859839363,-3.089198234365657,3.801229571192025,-1.2841912063498049,0.00164196,0.0008136698980513547,0.9998419837329822,0.04940861365883225,0.708849064738062
1989,DOCK10,-2.749362753722535,-5.191191964278067,-0.1214921186856404,1.308108567379527,0.000103418,6.438804506980941e-06,0.4305160630110723,0.9531147101695229,0.7072521242639042
1859,MAPK4,-2.7519816509519326,-1.8616069567775655,0.9536567224846554,-3.1120919617465708,8.49046e-05,0.013566285437804198,0.8998785402994416,0.00077192066567172,0.7059837928027195
897,UBE2S,-2.205733783472956,1.6773066140348976,-1.1560255720868278,-2.914606372379055,0.000841871,0.9794099269452813,0.06526255447991355,0.0012158088135551823,0.703979336664647
1202,ATP13A4,-2.279937153428084,0.1525049308487969,-1.5558017189890205,-1.2157787009370826,0.000177255,0.5868977760722317,0.027057365948093423,0.057354773831441025,0.7034559952011576
404,PLIN5,-2.25144275775523,-2.3789529990371645,2.2964660980497844,-2.4599538881758685,0.00055938,0.004161366547547233,0.9949725817757733,0.003455753035225771,0.701981247350407
593,GPR137B,-3.188841396560089,-5.939519882518817,-0.3795738627133143,0.9493770119878937,3.46714e-05,1.1494222990593252e-06,0.29442243516301775,0.8989871818918407,0.6994679094060049
129,PLEKHH1,-2.1828916449329143,-5.121775585195158,-1.0254636341864376,3.7721085587594256,0.000223776,7.554768029641799e-06,0.0861782836601504,0.9998310267135906,0.6955907123627623
736,NCSTN,-2.0522390683830225,0.03726724060002219,-2.497429151530329,0.4709540961026383,0.00125734,0.5214395938618803,0.0031709655775900925,0.7473279825612913,0.6945848983868999
586,GABRG3,-2.433195423115197,-1.5138880855326404,-3.8877904384581106,2.2683574687488286,0.000302093,0.0297173566972099,0.00012946528504077857,0.9946382361568065,0.6943775356839449
279,SLC15A3,-2.145914727633879,-0.29867601620930667,-3.977665772374511,2.0023558391767033,0.000483857,0.334538916807004,0.00010526609410110528,0.9901520451309502,0.6939597055824205
345,FAM214A,-2.4580513465965863,0.46567612789393964,-4.203016064924242,0.5105064661314557,5.61577e-05,0.7450262606904552,6.265514269895242e-05,0.764134947933929,0.691220094815152
987,GRIP2,-2.3069050485094045,-1.3211840139020388,-1.5428188576298398,0.08709736643766666,0.000119908,0.045558087902030406,0.027855562818817084,0.5499699043457831,0.6906349400723335
787,AMOTL2,-2.395285167267498,-0.44751107251902733,0.09764804229946975,-2.6956105200246268,0.000300156,0.26300029762363186,0.5559751146699483,0.0020114767957025888,0.6900636585930516
1206,AJUBA,-2.1055819781680296,-3.1064054770375895,0.5032265085436207,0.4205107618704724,0.00140177,0.0007820864007640096,0.761100392023866,0.724772904462234,0.6890129546467654
1205,CXCR4,-1.976687011910234,-3.269663296701132,3.0009576780140335,-1.5286036970634052,0.00243669,0.000537159616585539,0.9990031973126192,0.02875575414069361,0.6887919533300331
210,SLCO1A2,-2.117429380664595,-1.0179388923075923,-2.3725382287667087,1.1701059402467888,0.0002194,0.08755258125420455,0.004223026925199022,0.9366875926233226,0.6886528268610455
511,EMILIN2,-1.9999604001880569,-1.676950912275326,-0.35423641987821164,0.1557754611365791,0.000754156,0.020606596272516594,0.3066858036045844,0.5887223762002676,0.6874115549245354
1542,CARD11,-2.9469950115537262,-4.572618995692831,0.3624443804258133,-0.5116446972326827,0.000139451,2.6752808791306373e-05,0.6973180483558952,0.23539301184491535,0.6865276203602465
1062,TBC1D15,-2.341183309607012,-2.780975252096224,-0.8354468655006787,0.709917265546463,0.000106166,0.0016531269648534332,0.1274509263210037,0.8368049521042784,0.686174179461766
1413,SYT16,-2.741955526224689,-1.594036769176311,-3.020151540554478,0.5014915471856775,0.000126173,0.024833727037243545,0.0009537489084199769,0.7603732562108261,0.6855283026881593
1585,SEMA3E,-2.5822695386441272,-1.7229061399347092,-2.237754175499548,0.3225114080518642,0.000106888,0.018575929971838736,0.005750968661744843,0.6775663188893646,0.6847766180916648
1105,ELOVL2,-2.1870355578434997,-0.0542579452133389,0.34737355355900396,-2.753367546638199,0.000230533,0.46880717796662236,0.6899439267477945,0.001761435711525802,0.6834757892063275
1422,GIMAP2,-1.7901044336439955,1.5511167212165353,-3.9598885558869203,1.1243035983306557,0.00360648,0.9726571939413683,0.00010966393240567543,0.9301375848290885,0.6809741774320429
746,C9orf40,-2.2431868760005864,0.561845760251319,-1.527372966498246,-1.6786018876078592,0.00171998,0.7847724009343169,0.028835006457512753,0.020530013966091536,0.6809052556911621
369,AP3B2,-2.0807896373098145,-1.0485837011153318,-1.4104469686565622,0.30208914299212086,0.00023832,0.0820771867776481,0.03741055296075642,0.6672083966159913,0.6809045641916116
1618,TNR,-2.788994954005072,-2.5590034787380116,2.3573332898824004,-4.090388908733174,0.000145629,0.002752956055180388,0.9956271614191168,8.12037010180423e-05,0.6791542940710719
1783,P3H2,-2.883405148222451,-4.5439131227298075,0.06675130983890619,-0.1146572170170516,0.00012876,2.858080550981184e-05,0.5383496751547721,0.43437870983274013,0.6763994024599
821,PFKFB3,-2.797531976976434,-5.269178000259517,-0.5090835146882663,1.4389221854562144,0.000101965,5.3804631711339505e-06,0.2364560895889261,0.9648802643720777,0.6755427669062889
132,C2orf50,-2.6411193758919262,-2.7550510805195683,-1.6927109575447672,0.5753673250130664,5.52931e-05,0.0017546327164730568,0.019886816812277837,0.7899845394984504,0.6751605691040848
344,FBXO42,-2.10589955851746,-1.4261375898184905,-1.0090292382793298,0.16420934977583337,4.83194e-05,0.03613103537508325,0.08920541194269024,0.5934162122904747,0.6744568662050654
1470,THUMPD1,-2.2028596547795414,-4.0734711913896895,-1.0474080344407082,2.553855447627899,0.000222274,8.442909614688501e-05,0.08228136991523455,0.9972143082781562,0.6735925310226876
1495,MAN2B1,-2.1080045377797263,1.9700871695010178,-2.4804115054054066,-1.7731924597810327,0.000506065,0.98940051021905,0.0032972672092078923,0.016578575283820143,0.6734161362756264
1023,ELOVL5,-2.147289907638335,-4.883834469960943,1.5459417368748136,0.9293532720113613,0.000129467,1.3066517525244745e-05,0.9723384988650412,0.8947226033329494,0.6722217103067061
786,LPAR6,-2.0096059065391145,1.1625646042044333,-0.17448611939831854,-2.985983094175727,0.00043979,0.9356499630558199,0.4008873599108246,0.0010317360303172072,0.6718188517079553
599,GRM5,-2.636177312288304,-2.0954335498167262,-2.234019865865226,0.449674637601907,0.000154899,0.007963320228407351,0.00580034388997963,0.7379641881943448,0.6714588597974779
1775,TSPAN15,-3.108116403089884,-6.577105573282314,-1.1392746734347747,2.4204471760308075,6.13038e-05,2.647855687959127e-07,0.06765530127726849,0.9962163887682832,0.671402689763895
340,ARHGAP26,-2.5644013205133094,0.16174679719916013,-1.9505460072757823,-1.8780492436059733,4.98029e-05,0.5920474135275913,0.01108190231191706,0.013068857118681576,0.6710592513095555
840,MAP3K9,-2.9968147307053417,-5.909922684579227,-0.7612901633096933,1.7047351237184287,0.000130355,1.2304862952210892e-06,0.14767734300861693,0.9806457202729137,0.6706610779909222
887,FRZB,-2.7733330350728487,-4.795355476945154,-0.9541221903409302,1.4451696862482322,0.000236962,1.6019079842347286e-05,0.10002493680990047,0.965364486418623,0.6692818540301156
1465,DIP2B,-2.929821059473557,-4.26508091043894,-0.9008118482226493,0.37755069313479866,0.000114286,5.431196321648201e-05,0.11163025372753321,0.7046088878778946,0.6668535188156467
1656,CD37,-2.4537966991837648,-2.016362396018054,-5.572698105925178,4.221197105739869,5.64817e-05,0.009538393816038465,2.674858004858653e-06,0.9999399135150984,0.6655877835579886
1977,TNFRSF1A,-2.3802520413135517,-1.153585406457918,0.37964075366997907,-2.3881692356423323,0.000493906,0.06560615173652203,0.705609560050117,0.004074343912971936,0.6631070392517306
1800,YIPF1,-2.291946174390245,-3.453497002320649,0.09758413906009894,0.45831526351084884,0.000119064,0.0003518440141615478,0.555938789738558,0.7417932401782945,0.6630401539035058
1833,HDAC7,-1.9307931598101935,-1.170593091372719,-0.7958340606639565,0.12383134620922763,0.00037215,0.06324591830520548,0.1379436175054649,0.5708040023491217,0.6582972789338555
299,PPM1F,-2.141499724472429,1.6979998708276185,-1.1455849686572552,-3.0271408134291558,0.000117958,0.9803491692863939,0.0667445151171209,0.0009385369896891922,0.6582955436930826
1228,SAV1,-1.7639070442970646,-0.30912100545521637,1.4570591649077265,-2.4949830779703683,0.000457444,0.32920621456527827,0.9662682746369827,0.0031888186612972933,0.6574460357288893
1572,CYTH4,-2.2416630053599143,1.9521342272933169,-1.1457852930472558,-3.587634101783643,0.000165284,0.9889581036481512,0.06671578887210651,0.0002583768933272245,0.6572839747570269
1514,ENTPD3,-2.466088539718818,0.7629592090625172,-1.8145576096857092,-2.406496836600791,6.50446e-05,0.8528057309821823,0.01509512375785588,0.0039066383512946674,0.656695063655412
17,TCOF1,-2.278632435673802,-3.148555833617806,-1.0609345267500068,1.3124006594366449,0.000109284,0.0007097996728562133,0.0799598978744015,0.9535543757893111,0.656467934348373
475,LRIG3,-2.2331454536088278,4.293357153573325,-4.4442100364361234,-2.613863334371254,0.00114488,0.9999491113716338,3.59562463831481e-05,0.002427064531786815,0.6557866905987384
666,SLC37A1,-2.731985762809488,-2.127075263871016,1.8767065432700445,-4.0504344727135555,8.67012e-05,0.007407907438523123,0.9868912060872961,8.902805002806953e-05,0.649192349185656
572,GMIP,-1.9669712289530465,-2.3279277645322582,-1.1202427223135447,1.4404269611386624,0.00146402,0.0046777386434181285,0.0704724762075,0.9649974873373004,0.6488616935253332
672,ST5,-2.7695573708802135,-4.740856191895458,-0.5307709125007317,0.8549149690061428,8.23359e-05,1.8160839525327175e-05,0.2275591571620133,0.8774514623913436,0.6486599962084324
938,TTF2,-2.0577366369990937,-4.630512199766954,3.125052598830817,-0.7898411263684232,0.000247248,2.3414108767963325e-05,0.9992507583912182,0.1395927698631886,0.6463181972821201
655,ERC1,-2.618325861861375,-5.998194310438672,0.18414126672349115,1.8265278688365663,0.000123815,1.0041654009675182e-06,0.6044402411529453,0.9853092259058096,0.6445754017842518
551,SBF2,-2.775426245001858,-2.905829965500527,-1.5647182604283512,-0.015659447014829086,0.000106427,0.0012405975391123645,0.02652209571568668,0.49098667419914055,0.6400118436769777
1556,CLDN10,-2.4912344174811016,0.054145662859238816,-3.5720882884737666,-0.1395889196159793,0.000215609,0.531128438152891,0.0002677906417063611,0.42033085122400526,0.6360286178687996
2018,PDE4C,-2.1304476056393216,2.355228446118297,-1.224300842070503,-3.7084254818754054,0.000252778,0.995606010007527,0.056303024019309034,0.00019565436358284948,0.6356408231817254
250,DCAF4,-2.510328657526343,-5.231858600431825,-1.6017220976344948,3.105619242497329,0.000221319,5.8632559531048085e-06,0.02440876423436803,0.9992164975599109,0.633837419501673
