,Gene,Y0h,Y0l,Y1h,Y1l,Y3h,Y3l
2763,ENSG00000106992,0.5356727734739063,0.6432871582092622,0.007262347662116861,0.001278383761747042,0.010637955398749588,6.216834102027106e-06
2764,ENSG00000106993,0.0003353010361870815,2.524346226265086e-06,0.005723737438197262,0.0016936806960222554,0.017924945224428983,4.370230226662689e-10
2765,ENSG00000107020,0.009014944219318342,0.00017835803514249153,7.958232418371901e-07,3.0383388911054437e-05,0.006199495932174707,1.0806129405958216e-07
2766,ENSG00000107021,0.34399563365621,0.0010856647285272661,0.06085443709568903,0.11441219782838503,0.21169832591410342,0.4236173472408064
2767,ENSG00000107036,0.8040109337378378,0.9945026419056328,1.8552425488880936e-07,2.977933401229639e-08,0.061791002314863196,0.0005863671417482443
2768,ENSG00000107077,0.010326948245841773,2.5625603659093892e-05,0.003654537210252708,0.0005122620703228475,0.027160336609458647,0.0006437997897040157
2769,ENSG00000107099,0.8732150331313978,0.999380082286015,0.7305229044996985,0.999999827466217,0.08214841959006904,0.9977300864096897
2770,ENSG00000107104,0.8666822744993327,0.9999854953835158,6.667252137929247e-16,6.677898663377398e-23,0.542512632316098,0.9977539392169339
2771,ENSG00000107105,0.5835282487856274,0.4189985980595319,1.4822717264807633e-07,1.3050669937585306e-05,0.40836137922019045,0.993920913785997
2772,ENSG00000107130,0.5860096868759718,0.0909192204598774,1.056209993278044e-15,2.5015390574298242e-08,0.17381127370745253,0.23405529583526954
2773,ENSG00000107140,0.8368221393036764,0.9948173092405754,0.0007747090481676261,0.00021253763629563608,0.0300749344253069,5.10139403567407e-06
2774,ENSG00000107147,0.501266200882096,0.054083817607671995,0.0041566211657228826,0.9998036024658586,0.5841193773924531,0.3608791928365109
2775,ENSG00000107164,0.34374680767623045,0.0010808053796843601,0.00010758706734571598,0.0002442974600324193,0.6724294085197707,0.28337762131730415
2776,ENSG00000107175,0.026502815507259355,0.12551127451823893,0.29948426508367776,0.6319900976932146,0.8285027782413086,0.9998463349395745
2777,ENSG00000107185,0.004578019634534092,7.304988130976929e-06,0.01465452201362379,0.9941949228187419,0.06379502264507834,0.00024200906328085693
2778,ENSG00000107186,0.01250128871159013,0.06858222533848155,4.492605018191807e-16,6.782713326173222e-20,0.4324121742964086,0.914523823473424
2779,ENSG00000107201,0.05388860595920958,0.9808335271035049,6.916482497538009e-09,8.905255601381631e-11,0.06314799607176284,0.05987705329910285
2780,ENSG00000107223,0.010311930642565057,2.5472625653134958e-05,9.36443327377286e-25,5.622495607437959e-25,0.00033382468297842185,1.4768212404602262e-12
2781,ENSG00000107242,0.6077745586541861,0.09633674359693777,1.1783589371987918e-12,2.3205881849679206e-14,0.004590701982186411,1.9238184410579163e-06
2782,ENSG00000107249,0.774917374110147,0.9998658194229565,1.1664576584338416e-05,2.6231657136740593e-06,0.06358811828247272,0.0015439399899252488
2783,ENSG00000107262,0.585682642823043,0.09046657308114489,0.47678082977238895,0.10066679093181252,0.041181634750210507,6.521319942687451e-05
2784,ENSG00000107263,0.07265716562075177,0.47631384444706015,1.6472784046008686e-10,5.193131173584139e-10,0.37935947144746274,0.4826698137846178
2785,ENSG00000107281,0.5356481605867813,0.11270863440494783,0.011802311647204711,0.010300400746084482,2.0686967533576144e-05,1.8654020864359643e-10
2786,ENSG00000107282,0.5967572593882853,0.15575300284496685,5.216847703031968e-05,1.2829800781828812e-06,0.8888086804097346,0.9999560961637363
2787,ENSG00000107290,0.02289798409622673,0.023809317416378394,1.2137233371219302e-08,1.0197798023968626e-11,0.046493904753747615,8.962800559159521e-05
2788,ENSG00000107295,0.10260669700772185,0.01574260801011816,6.629691152765257e-07,9.973281722611504e-08,0.42882133295941083,0.9948559230553714
2789,ENSG00000107317,0.8828890474273471,0.9977834025977382,4.104625047766228e-06,9.93840565675044e-09,0.3294301084157132,0.7743311035770378
2790,ENSG00000107331,0.2552572138522422,0.050544345324069845,0.0016379837219441258,0.011661934600640904,0.8054737809360781,0.9787654937044117
2791,ENSG00000107338,0.5854447451337387,0.09013865066905553,0.588770312964262,0.999995383224749,0.6873271829013897,0.9974567135175039
2792,ENSG00000107341,0.4806983932930934,0.8307528431757777,3.3784671285055486e-09,2.7571391380589814e-12,0.15622992778076483,0.022810604846401038
2793,ENSG00000107362,0.608500404148444,0.9776603626443646,0.03059108281111065,0.9994584320938312,0.17325044598174166,0.02799732103849555
2794,ENSG00000107371,0.0005329309407035782,1.3220586553277368e-05,6.002350507117792e-07,1.4219002100853368e-09,6.097439774289844e-07,7.571213399694429e-15
2795,ENSG00000107372,0.010293189026220353,2.5282686714312872e-05,3.8491772562310983e-10,1.0725163869902162e-11,0.03796887995307036,7.91358402218805e-05
2796,ENSG00000107404,0.33616496801901535,0.5088951708282614,0.49507317608632695,0.991717869377914,0.07794391044054776,0.004351101988391898
2797,ENSG00000107438,0.01013658051289677,0.0048005335614857945,1.5103702240837777e-06,8.111450578432693e-10,0.1822173096921053,0.6887407284183694
2798,ENSG00000107443,0.3530555453261224,0.0003552720369535022,1.7304812814381444e-05,1.3624658004923135e-05,2.4628277738792618e-08,1.8846814033865835e-17
2799,ENSG00000107518,0.3651760155717662,0.0024836986664243106,3.090700673764286e-11,3.4409379124326915e-12,0.023584932785308568,4.513080547073574e-05
2800,ENSG00000107521,0.35299957050737324,0.0003549177913602002,8.386665752628336e-09,1.6550087977409955e-10,0.0009733844765717396,5.606043786128246e-07
2801,ENSG00000107537,0.562225535399418,0.18544197009006802,3.073327547677829e-14,2.5993641091223277e-22,0.20588461875838865,0.10796268172483378
2802,ENSG00000107551,0.009847818186509974,7.582316712119626e-05,1.0955562974732963e-05,1.8456688238340905e-06,0.1266264592256858,0.00546082321930848
2803,ENSG00000107554,0.4884127816741255,0.9186056514069794,0.011745207578542659,0.020878080658793454,0.03597934106409516,2.8738653048466743e-06
2804,ENSG00000107560,0.00033366212901918073,2.4744617706922663e-06,0.00010444070984224114,0.0008294554225564077,0.003038214262491013,8.553061959750946e-10
2805,ENSG00000107562,0.5850283283352824,0.08956736261432574,6.8577328333726754e-06,0.01339224724093098,0.8676610284369131,0.9999691133891824
2806,ENSG00000107566,0.8362692120784428,0.9947317158904129,3.4314108157375555e-07,1.4304554839057244e-06,0.010855619505048377,2.187483886034971e-09
2807,ENSG00000107581,0.00987276362384624,0.00016641562548116838,5.437452474086136e-08,2.970992614484268e-11,0.25249666810576027,0.025362080905587933
