,Gene,Y0a,Y0b,Y1a,Y1b,Y3a,Y3b
4256,ENSG00000122550,1.9307682212143506e-07,8.589892056902164e-05,1.651896615206584e-07,3.3795673207516533e-07,1.7546034407699534e-08,9.6354614127935e-09
4257,ENSG00000122557,0.01935097122102648,0.033308614590091774,5.244364963415707e-11,5.8461950444246265e-09,0.01335450061377898,0.007775196224559233
4258,ENSG00000122565,0.011235711007877342,0.009592203355890392,3.215804732508843e-16,1.2002831796160177e-13,1.5157807191362026e-05,2.4161248408573176e-06
4259,ENSG00000122566,0.10855887785669581,0.1223213670085674,3.760369449616447e-13,7.815248195657566e-10,0.034125280390337354,0.0678351674252879
4260,ENSG00000122574,0.05931740542999717,0.0745258823983549,0.39389078393831933,0.6220433013122302,0.062283011050943575,0.1484453823810939
4261,ENSG00000122584,1.3756142589009104e-05,0.015575176698838712,0.012674547893101537,0.08996053707659865,0.0002804746651158736,0.004885244111305033
4262,ENSG00000122585,0.059298471681495095,0.0745108092292679,3.225217533034956e-07,1.9817783715310484e-06,3.1578439191738457e-07,1.1253415521026742e-06
4263,ENSG00000122591,0.05928900693084208,0.07450327369595604,0.9999965956165835,0.9999882238826472,0.004096591217369576,0.009157797255367342
4264,ENSG00000122641,0.9990035836326371,0.9968066195646148,5.384924756979083e-06,0.0002628838171727591,2.8612219523660133e-07,9.479195981147891e-08
4265,ENSG00000122642,0.059270081675825495,0.07448820473153184,6.678691848455462e-10,5.977116955510883e-08,0.0009058411146021757,0.0011511490596498469
4266,ENSG00000122643,0.00730911008480059,0.008803067732354768,4.952842445565169e-19,5.211506375199374e-15,0.04213378301864709,0.04051310036990461
4267,ENSG00000122644,0.059251162081319544,0.0744731385696886,2.0236751367011586e-07,1.1735369686822293e-06,1.6423740776700878e-06,6.9664680353635325e-06
4268,ENSG00000122674,0.03729199788164531,0.03323256617112508,3.143570620763758e-12,9.893765151001137e-10,1.577726194674548e-14,5.951963641560868e-13
4269,ENSG00000122678,0.05923224814587408,0.07445807521000432,0.0001578858425094177,0.0008065588276294834,0.001162581359016983,0.0024214047526400573
4270,ENSG00000122679,1.0068058817142378e-06,0.00017415292353590894,3.155148702649154e-08,1.4066498473926394e-05,0.0006151305656258471,0.0037507954505134624
4271,ENSG00000122687,0.05921333986803913,0.074443014652057,5.722406711568168e-12,1.9759291690480158e-10,1.921135868041627e-09,2.4702848009245547e-08
4272,ENSG00000122692,0.05920388785027258,0.0744354854236028,1.9895203569912756e-09,7.418753942923862e-08,8.063147541899207e-06,1.3773914562810361e-05
4273,ENSG00000122694,0.01929951759022197,0.03325236056476331,1.1975584892848223e-05,5.135533402445527e-05,0.7856572019122398,0.6502345065499736
4274,ENSG00000122696,3.737195268454454e-08,3.1404129508412125e-05,2.7784197929838105e-07,5.294591793634492e-06,3.523590193218123e-17,1.7657397811378772e-15
4275,ENSG00000122705,0.023679435418604847,0.021044827567050405,6.718824547753063e-07,3.349689097294076e-06,0.0008457382552892888,0.0022531929675498785
4276,ENSG00000122707,0.0591660939159845,0.07440537551201855,0.8399505767734524,0.8489853324355391,2.757045326161773e-07,1.368211396498725e-07
4277,ENSG00000122729,0.019286675153169702,0.03323831139875627,1.0451503078464875e-17,5.828629107866659e-13,0.29796072264181317,0.23081280648067218
4278,ENSG00000122733,0.0391632454055269,0.046427719863982406,0.12401166660362228,0.06027859376695162,0.9922480503146989,0.984825536969164
4279,ENSG00000122735,0.0001687166734620643,0.011863008965910086,4.8975819800032856e-08,4.272149315829097e-07,1.2344748248840105e-06,3.5118988421540137e-05
4280,ENSG00000122741,0.05912832259184631,0.07437527680147468,4.1328722631585844e-05,8.918212559373856e-05,0.0001571675495886369,0.0004846579553781792
4281,ENSG00000122756,0.0013952665166632918,0.017279544887794148,0.024559643377165277,0.0036406767803492737,0.5233844898507461,0.5566521733485386
4282,ENSG00000122778,0.05910944540496111,0.07436023164553816,3.140766666539081e-05,0.0001157400587571185,0.0017665995784580109,0.008315254055895303
4283,ENSG00000122779,0.03482661247534898,0.04021536201334495,1.2039324983571798e-13,1.0812570781910246e-10,0.0014067080958986705,0.002511096523007116
4284,ENSG00000122783,0.007853608754477583,0.053248562246093846,7.48510051962784e-09,8.397386094533908e-08,9.590370812114438e-06,7.045014209627789e-05
4285,ENSG00000122786,0.0014156329956785548,0.024155464218507422,2.8056168002852413e-12,6.909287198302665e-10,1.1353918549726717e-07,5.976613534892902e-06
4286,ENSG00000122824,0.03911219573957453,0.04638903043579257,2.2988273560559365e-05,8.35516495852457e-05,0.0002507737587108182,0.00122205201398063
4287,ENSG00000122862,3.3904534206313296e-07,8.05773649463355e-05,3.957623376336486e-06,0.0005389201825765621,3.0147598159861487e-06,3.060263679047565e-05
4288,ENSG00000122863,1.0037354386948906e-06,0.0001738107516923957,4.973606208717493e-07,4.319467327739322e-06,0.3759620173908515,0.3712759880860686
4289,ENSG00000122870,0.055287292678539324,0.06951035197954364,0.9541098342572802,0.9751715324732749,0.997399448041832,0.9896684899619125
4290,ENSG00000122873,0.06658088377200497,0.057266633097298736,8.054179611575829e-06,0.00039184598077210815,1.8978785236566386e-07,4.290865202029848e-06
4291,ENSG00000122882,0.0590245679394346,0.07429256307529014,1.8966392636610114e-10,4.939219098772268e-08,7.981321624307775e-08,8.360454287799475e-07
4292,ENSG00000122884,0.10801816559294207,0.1219347296921611,5.543092955287335e-13,8.172488108870334e-11,3.6079325170918874e-12,6.741899427029171e-11
4293,ENSG00000122912,3.5684179094210174e-06,6.015699610052027e-05,8.959065760830095e-11,2.590864128458853e-08,1.1009235139726336e-07,2.06610694057108e-06
4294,ENSG00000122952,0.10755338136842095,0.09317629177434529,7.141173070647072e-13,6.395277611775714e-11,3.0023374512782813e-05,0.00017667263214817666
4295,ENSG00000122958,0.26148647452612117,0.2916810060573391,5.914732143017173e-10,2.9090455696694542e-08,4.608018538417375e-13,2.088186848753964e-11
4296,ENSG00000122965,0.058977463165025064,0.07425499390220615,8.808070730899857e-06,3.223230128141913e-05,1.7357530670353008e-11,6.883180821311337e-10
4297,ENSG00000122966,0.01595683825805669,0.017128363152064747,0.00097138197011396,0.06297732829963787,0.9993280057371449,0.9976380476773693
4298,ENSG00000122970,0.04134722802640298,0.015378563239039673,2.3471477023179333e-07,6.8210244894055295e-06,5.13760760444041e-10,7.126511482581916e-10
4299,ENSG00000122971,0.03836078569153221,0.05637248832505078,0.1622927972404074,0.1677075021017932,0.13720677165119444,0.27876154037258327
4300,ENSG00000122986,0.03928203440377855,0.055371112877562155,1.4126275985276983e-09,5.130861921739842e-07,6.386687866296712e-08,7.248193228379685e-07
4301,ENSG00000123064,0.058930393628474784,0.07421744220438543,1.2517924301716288e-14,2.5028685521983066e-12,2.282597461277118e-16,5.302933890379306e-15
4302,ENSG00000123066,0.0016249023083009194,0.029644967124222033,2.2409913480616962e-12,2.894975110757526e-10,0.0015467144366532331,0.0053933692836536425
4303,ENSG00000123080,0.00013711729091803721,0.02499906314653149,2.0347782963825437e-09,2.9042451125193572e-08,0.003843811269025611,0.005873541067808943
