,Gene,Y0a,Y0b,Y1a,Y1b,Y2a,Y2b,Y3a,Y3b
13987,ENSG00000267100,0.020824359925865638,0.020824359925865638,2.1553233412850777e-21,2.1553233412850777e-21,1.1974928804620665e-05,1.1974928804620665e-05,3.907985355698599e-08,3.907985355698599e-08
13988,ENSG00000267106,0.011497727608065954,0.011497727608065954,7.396427542680276e-15,7.396427542680276e-15,0.0002537646325217149,0.0002537646325217149,7.781073990446374e-10,7.781073990446374e-10
13989,ENSG00000267107,0.009800253968035362,0.009800253968035362,2.2908331682772353e-08,2.2908331682772353e-08,0.8328676313020913,0.8328676313020913,0.00043025501422622067,0.00043025501422622067
13990,ENSG00000267121,0.0036933349646139386,0.0036933349646139386,3.2362933575913283e-08,3.2362933575913283e-08,0.00014726522941198642,0.00014726522941198642,7.818667723859556e-06,7.818667723859556e-06
13991,ENSG00000267127,0.00369244842235729,0.00369244842235729,8.422800717037097e-06,8.422800717037097e-06,2.110936931561897e-06,2.110936931561897e-06,1.3299141661400918e-12,1.3299141661400918e-12
13992,ENSG00000267128,0.003691562092116351,0.003691562092116351,5.499228259642175e-10,5.499228259642175e-10,0.0002169601917067043,0.0002169601917067043,7.584038287722801e-08,7.584038287722801e-08
13993,ENSG00000267152,0.0036906759738407863,0.0036906759738407863,8.418453856973952e-06,8.418453856973952e-06,5.52361953765227e-08,5.52361953765227e-08,1.7549388460633048e-13,1.7549388460633048e-13
13994,ENSG00000267169,0.0036897900674802866,0.0036897900674802866,2.849785489990147e-09,2.849785489990147e-09,1.9661253666590806e-06,1.9661253666590806e-06,7.837952055599054e-14,7.837952055599054e-14
13995,ENSG00000267194,0.0036889043729845493,0.0036889043729845493,0.02216168562484088,0.02216168562484088,7.25847055209153e-10,7.25847055209153e-10,1.6728558906856665e-05,1.6728558906856665e-05
13996,ENSG00000267199,0.0036880188903032868,0.0036880188903032868,7.364404976971195e-07,7.364404976971195e-07,0.0011616782728095301,0.0011616782728095301,1.0380366355457405e-17,1.0380366355457405e-17
13997,ENSG00000267244,0.0036871336193862203,0.0036871336193862203,4.352944351868442e-25,4.352944351868442e-25,4.7316663585528587e-07,4.7316663585528587e-07,9.217007046769576e-11,9.217007046769576e-11
13998,ENSG00000267254,3.847317953520237e-05,3.847317953520237e-05,4.09781117991784e-06,4.09781117991784e-06,8.889466235218893e-05,8.889466235218893e-05,1.1656701117754695e-07,1.1656701117754695e-07
13999,ENSG00000267270,0.0036853637126436217,0.0036853637126436217,1.5191606341898512e-11,1.5191606341898512e-11,0.0006772228376827097,0.0006772228376827097,0.0003113261845549768,0.0003113261845549768
14000,ENSG00000267296,0.9965114382562431,0.9965114382562431,1.4601998369831347e-05,1.4601998369831347e-05,0.00042695684006945284,0.00042695684006945284,1.0701442932701633e-08,1.0701442932701633e-08
14001,ENSG00000267321,0.003683594652354771,0.003683594652354771,2.47883275152327e-14,2.47883275152327e-14,1.1627450324067753e-05,1.1627450324067753e-05,4.082594607106761e-19,4.082594607106761e-19
