,Gene,Y1a,Y1b,Y3a,Y3b
3849,ENSG00000117597,0.04018195201633878,0.3267235928299861,1.2513814826804872e-06,9.299220827677337e-06
3850,ENSG00000117598,2.114975259998399e-06,0.0001300756984992264,0.001545118649307704,0.004079688133570574
3851,ENSG00000117600,1.185378014081292e-11,7.25796983982153e-08,2.178858892375502e-08,4.796604303270998e-07
3852,ENSG00000117602,0.4095364034845697,0.4459589396836216,0.010284977869424715,0.0194100726619904
3853,ENSG00000117614,4.461179349680115e-05,0.00011473491802673973,0.8830170047794749,0.8512397385957141
3854,ENSG00000117616,6.892392865782442e-15,1.5625509848210417e-11,2.036674346701199e-09,1.1488958028695009e-08
3855,ENSG00000117620,1.702037181762078e-08,1.5922890980707724e-06,6.693416152274634e-07,3.480770793918828e-06
3856,ENSG00000117625,1.7487811197192142e-10,4.2531315775978197e-10,0.001126879985551266,0.005257573485001017
3857,ENSG00000117632,0.0002853156815023553,0.00078048052569471,0.6068041400450165,0.7311652004918991
3858,ENSG00000117640,5.1792046481946894e-05,0.0007085247027738559,6.178698082025028e-08,5.000155760720135e-07
3859,ENSG00000117643,4.485738228389372e-12,1.061461856337561e-09,2.3304191668968783e-07,1.4582675421225518e-06
3860,ENSG00000117676,0.5004893371744457,0.9783073025613394,2.4881383365048747e-07,5.514723180300541e-06
3861,ENSG00000117682,5.214716260968836e-10,5.877667216258487e-09,9.304733501804199e-07,7.708408091395467e-06
3862,ENSG00000117691,1.6676802163188093e-14,1.6429178671045883e-13,0.0005096487206189425,0.0010973936849022143
3863,ENSG00000117697,1.6303261943066032e-07,7.795596469196663e-07,0.2070691555327341,0.2528908706141817
3864,ENSG00000117707,0.7729889764267255,0.5870389077991283,0.4395230529247315,0.3527515156157474
3865,ENSG00000117713,4.765667110879696e-07,2.8111926588449883e-06,0.05960166546289366,0.07326205185343163
3866,ENSG00000117724,0.005000187860364802,0.028243840339927696,0.0014493334231615472,0.0032681839352874543
3867,ENSG00000117748,1.5135564912547177e-17,4.867385740320821e-14,2.1162469170465356e-13,1.5262947117277543e-13
3868,ENSG00000117751,3.1014283562763926e-15,4.265424331019848e-12,0.028834526309559762,0.04070339135329797
3869,ENSG00000117758,2.118956986936872e-28,1.4243714687100263e-22,4.839927121359254e-07,2.336974838064952e-06
3870,ENSG00000117791,6.184940047951651e-06,0.0005018139342978586,3.0423344540652014e-07,2.4459477150076535e-06
3871,ENSG00000117859,2.2486670967246007e-14,1.766215370968929e-13,4.384280664146019e-11,1.629542820835515e-09
3872,ENSG00000117862,0.0001152011127404561,0.00022554185783323888,2.356638231771566e-16,1.1613826473497339e-15
3873,ENSG00000117868,0.9999197455036598,0.9986039846583294,0.0009632547127614699,0.0021885235005906006
3874,ENSG00000117877,5.909901740565038e-07,3.8825148876423135e-06,0.00019678505439160528,0.0006403427799532705
3875,ENSG00000117899,1.6303339301297782e-11,1.4104454389930873e-09,0.0006297936776237773,0.001291305754735341
3876,ENSG00000117906,2.0671732611937864e-18,5.700403632159919e-17,0.013274536615604465,0.0304408051021538
3877,ENSG00000117984,0.0008417658954289832,0.0043029847920976125,6.0929422151622555e-09,1.9885848573023566e-07
3878,ENSG00000118007,5.008275935274247e-21,3.7015722602756e-16,3.0923333175137545e-09,3.3385113942745656e-08
3879,ENSG00000118046,0.00040991715934547327,0.00035711157878380047,2.477505842707193e-05,0.00012799960344203251
3880,ENSG00000118058,9.385107447813196e-19,5.167792521188027e-15,1.8628444611750804e-07,2.6675508244843864e-06
3881,ENSG00000118096,0.00011493386797489417,0.0002250031574758589,2.0677898435906468e-15,8.030287570539105e-15
3882,ENSG00000118160,1.0539741439764188e-23,3.337203473857636e-16,0.0023942072947240297,0.0030517520712696807
3883,ENSG00000118162,1.5989609266947033e-13,1.087072894360635e-12,0.003744321151494852,0.012593623458606757
3884,ENSG00000118181,2.901217946746999e-15,3.3706413590770776e-12,5.4841156800279485e-05,0.00036090560924491224
3885,ENSG00000118194,5.169677395398267e-07,2.808400194310135e-05,0.04317539265021824,0.07608230220056392
3886,ENSG00000118197,6.237141084513017e-08,4.135615820994326e-07,8.546191497576438e-09,2.3339100396775368e-07
3887,ENSG00000118200,0.9764536921048201,0.7171708748239096,3.871932239652838e-07,3.178804457438509e-06
3888,ENSG00000118217,2.8876623670790025e-12,4.692333038280039e-09,8.505868757079791e-07,2.9936327279632605e-06
