,Gene,Y1a,Y1b,Y3a,Y3b
8942,ENSG00000165699,0.00036885910467981465,0.00036885910467981465,8.910865663824707e-12,8.910865663824707e-12
8943,ENSG00000165704,0.33012014518260796,0.33012014518260796,0.0016159318968022901,0.0016159318968022901
8944,ENSG00000165714,2.9159288088460415e-15,2.9159288088460415e-15,0.0019081677632098507,0.0019081677632098507
8945,ENSG00000165716,5.2606679008337196e-08,5.2606679008337196e-08,0.021040540030086412,0.021040540030086412
8946,ENSG00000165724,1.1981046320376417e-10,1.1981046320376417e-10,4.78190221091083e-07,4.78190221091083e-07
8947,ENSG00000165730,3.518813477761417e-11,3.518813477761417e-11,0.023144344176529167,0.023144344176529167
8948,ENSG00000165731,4.207737995595706e-10,4.207737995595706e-10,3.2770962827024977e-05,3.2770962827024977e-05
8949,ENSG00000165732,5.193030678236358e-26,5.193030678236358e-26,0.7480726092837291,0.7480726092837291
8950,ENSG00000165733,0.0142047402687964,0.0142047402687964,0.13008404736579587,0.13008404736579587
8951,ENSG00000165752,0.0115632862142779,0.0115632862142779,0.0935810597081251,0.0935810597081251
8952,ENSG00000165757,0.018568533467153644,0.018568533467153644,1.7526997740120362e-05,1.7526997740120362e-05
8953,ENSG00000165775,0.0008322856651793102,0.0008322856651793102,0.0016694924696495366,0.0016694924696495366
8954,ENSG00000165782,3.391072769064841e-11,3.391072769064841e-11,3.446062533381084e-05,3.446062533381084e-05
8955,ENSG00000165792,1.0034971727333923e-05,1.0034971727333923e-05,8.378782734345666e-10,8.378782734345666e-10
8956,ENSG00000165795,2.2823032353331462e-06,2.2823032353331462e-06,2.2205916009257752e-06,2.2205916009257752e-06
8957,ENSG00000165801,0.8361876918035411,0.8361876918035411,5.05269831512748e-08,5.05269831512748e-08
8958,ENSG00000165802,0.9999901256031021,0.9999901256031021,0.012687688165635648,0.012687688165635648
8959,ENSG00000165804,1.876823345531123e-06,1.876823345531123e-06,5.652457772385496e-08,5.652457772385496e-08
8960,ENSG00000165806,6.923983469292758e-08,6.923983469292758e-08,2.157894822832142e-05,2.157894822832142e-05
8961,ENSG00000165810,0.07901605213375247,0.07901605213375247,1.155756316756517e-05,1.155756316756517e-05
8962,ENSG00000165813,4.676375290873312e-13,4.676375290873312e-13,0.0010107769667764986,0.0010107769667764986
8963,ENSG00000165816,0.0001230784907472342,0.0001230784907472342,0.1830527211386202,0.1830527211386202
8964,ENSG00000165819,1.8547234733899687e-11,1.8547234733899687e-11,6.393466073875029e-06,6.393466073875029e-06
8965,ENSG00000165821,7.779963017574258e-14,7.779963017574258e-14,0.0005345840410407663,0.0005345840410407663
8966,ENSG00000165832,2.0430921094518934e-15,2.0430921094518934e-15,0.00017534166430788117,0.00017534166430788117
8967,ENSG00000165861,1.1506689280981326e-06,1.1506689280981326e-06,6.791980789808946e-08,6.791980789808946e-08
8968,ENSG00000165868,1.4892558266931523e-07,1.4892558266931523e-07,0.9906133587995636,0.9906133587995636
8969,ENSG00000165879,5.635600801689728e-10,5.635600801689728e-10,2.2268324361733556e-05,2.2268324361733556e-05
8970,ENSG00000165886,1.4883008550341073e-13,1.4883008550341073e-13,8.381925569666864e-05,8.381925569666864e-05
8971,ENSG00000165895,0.037779860021399804,0.037779860021399804,1.1893082609299046e-08,1.1893082609299046e-08
8972,ENSG00000165898,0.00010981876408142365,0.00010981876408142365,3.001504170285453e-13,3.001504170285453e-13
8973,ENSG00000165899,3.4484835866319785e-22,3.4484835866319785e-22,4.9050117535302225e-06,4.9050117535302225e-06
8974,ENSG00000165912,8.473653788538211e-21,8.473653788538211e-21,0.0009065075627367643,0.0009065075627367643
