,Gene,Y0a,Y0b
11718,ENSG00000188229,1.9063993500436618e-19,2.111532181403246e-17
11719,ENSG00000188234,1.2225340375059512e-05,2.5016507131025696e-05
11720,ENSG00000188242,1.3137942522571944e-05,3.17324016478932e-05
11721,ENSG00000188243,1.2276469486495037e-05,9.836828889138495e-06
11722,ENSG00000188266,2.0072702690074897e-11,4.2207315695700957e-10
11723,ENSG00000188277,1.4438032162443602e-17,5.071829360173751e-15
11724,ENSG00000188283,3.206203092042666e-06,1.3961629383616444e-05
11725,ENSG00000188290,1.2264125418499814e-05,9.824562799842116e-06
11726,ENSG00000188295,3.022074074960488e-11,1.5160195690526902e-08
11727,ENSG00000188312,5.310752531118668e-17,6.599613830396492e-16
11728,ENSG00000188313,3.5602520430199795e-13,4.7127039445877114e-09
11729,ENSG00000188315,2.164474483699832e-12,2.9888499443862077e-10
11730,ENSG00000188321,3.0085175219830333e-16,1.841389708295121e-14
11731,ENSG00000188322,1.9821531685653504e-14,2.7551398089478546e-09
11732,ENSG00000188338,0.268367018517086,0.18293134512203493
11733,ENSG00000188342,0.05071381099635342,0.04694861108807545
11734,ENSG00000188343,7.629050772771358e-23,1.3685579418568047e-19
11735,ENSG00000188352,3.625392894940948e-05,0.00035820651160866615
11736,ENSG00000188385,3.779663547935644e-07,2.7677625635988525e-06
11737,ENSG00000188419,1.504622349039136e-11,6.1527700053400315e-12
11738,ENSG00000188428,1.917434937940196e-16,8.630240748877725e-13
11739,ENSG00000188483,0.00010793345555170054,0.00020973220192376128
11740,ENSG00000188486,1.1551692995413907e-10,1.6845879384950092e-09
11741,ENSG00000188493,1.7719692173051423e-11,4.1049381404386806e-10
11742,ENSG00000188529,7.212010624609442e-06,1.565761062379721e-05
11743,ENSG00000188536,2.2778848385808994e-05,0.00018837037764634715
11744,ENSG00000188542,2.156235772949229e-15,1.8535869990241545e-12
11745,ENSG00000188549,1.3681759693246661e-09,6.845209649065296e-10
11746,ENSG00000188554,5.978194270922615e-20,7.266372970024957e-18
11747,ENSG00000188559,4.564238095877163e-14,1.0332165269573047e-12
11748,ENSG00000188566,3.7297327027206737e-06,3.5979484869167205e-05
11749,ENSG00000188573,8.600980703168972e-06,1.3417645694608569e-05
11750,ENSG00000188580,5.972369169489273e-09,1.986407337827757e-09
11751,ENSG00000188599,1.1923134985883478e-05,1.1211030650765724e-05
11752,ENSG00000188612,4.419952034052013e-15,1.4292415942281678e-14
11753,ENSG00000188613,1.354622038539905e-05,2.2271979913950148e-05
11754,ENSG00000188636,6.201964598511952e-12,2.6862519333406954e-08
11755,ENSG00000188641,1.2171939676728936e-05,9.733053347154595e-06
11756,ENSG00000188643,8.214924388603068e-07,9.1285584182711e-05
11757,ENSG00000188647,7.46933781687494e-12,4.6276046346661577e-10
11758,ENSG00000188659,3.871126402683137e-05,2.552720520889548e-05
11759,ENSG00000188674,1.365105681287677e-05,2.8798389338233712e-05
11760,ENSG00000188677,2.7496347656079204e-09,2.1925120529768623e-09
11761,ENSG00000188690,1.658409035893371e-10,1.1708504399601666e-08
11762,ENSG00000188706,1.026148344890176e-06,5.941719151087628e-06
11763,ENSG00000188725,2.701304939882509e-15,3.1768092624565564e-13
11764,ENSG00000188730,1.0298022317390434e-26,9.385646038260883e-22
11765,ENSG00000188732,0.0004887711067874226,7.687124797458648e-05
11766,ENSG00000188735,1.834075692013285e-08,7.920490465702581e-08
11767,ENSG00000188747,3.2002719550771375e-15,5.011640849858833e-14
11768,ENSG00000188760,4.252875400016951e-14,5.692863302452469e-14
11769,ENSG00000188763,2.190871109964244e-08,3.364517046278069e-07
11770,ENSG00000188766,2.571501198267914e-11,7.502386888454187e-11
11771,ENSG00000188783,5.9431224640729555e-05,6.684246620931648e-05
11772,ENSG00000188785,1.5854943853081527e-11,1.892216580663935e-10
11773,ENSG00000188786,3.825693089546858e-15,5.2871597984437434e-12
11774,ENSG00000188803,6.006284318696744e-10,2.796720496695917e-07
11775,ENSG00000188807,2.3423350565713277e-11,4.0018331243823316e-10
11776,ENSG00000188811,3.369626287655407e-10,8.579881383045945e-10
11777,ENSG00000188818,1.2104777486145124e-05,9.666488576453993e-06
11778,ENSG00000188825,1.6505682136708576e-16,1.4062865344090694e-14
11779,ENSG00000188827,3.0129722031848423e-07,6.022207285780702e-06
11780,ENSG00000188846,1.2095647763807869e-05,9.657446903234147e-06
11781,ENSG00000188848,3.241888754639689e-05,0.0006072061677499885
11782,ENSG00000188859,6.048591201594386e-09,4.5313520725302306e-08
11783,ENSG00000188868,1.2086524927249603e-05,9.648413687176933e-06
11784,ENSG00000188878,3.4592470295876997e-12,1.2391056514158432e-11
11785,ENSG00000188895,2.8173519192494858e-14,5.627456109116951e-12
11786,ENSG00000188906,1.8054433488457041e-12,6.415329921133242e-11
11787,ENSG00000188916,0.18835693224349537,0.14379843631644335
11788,ENSG00000188917,2.327992657806159e-10,3.012390324862308e-09
11789,ENSG00000188921,4.816590225822756e-07,4.2844969364303385e-07
11790,ENSG00000188933,0.230641745950633,0.17007407474540576
11791,ENSG00000188938,3.8802125861288383e-07,2.2495382923892783e-07
11792,ENSG00000188976,5.054145892995983e-08,4.1612007423842543e-07
11793,ENSG00000188981,2.8204234402927545e-08,4.241233663667067e-08
11794,ENSG00000188986,0.0009266944645698608,0.005097813791343411
11795,ENSG00000188994,7.258628221554171e-13,6.346525114596852e-11
11796,ENSG00000188997,3.422321888170156e-14,1.9270691660269617e-12
11797,ENSG00000189007,3.6659418978838686e-19,2.340878132935994e-15
11798,ENSG00000189042,6.016066353392684e-22,2.808414207667059e-17
11799,ENSG00000189043,1.586480465338699e-12,5.401921809086134e-11
11800,ENSG00000189046,0.0006470940782242361,0.0004955555729853681
11801,ENSG00000189050,6.581865480967166e-07,2.4979402206491636e-06
11802,ENSG00000189056,6.541391895381091e-08,4.607511923326716e-08
11803,ENSG00000189058,0.00011416945707844455,0.011721428564817681
11804,ENSG00000189060,7.820649421400936e-06,8.134710761815715e-06
11805,ENSG00000189067,0.023883710809837328,0.006636927640708115
11806,ENSG00000189077,2.5300695960374324e-05,0.00013860213531335217
11807,ENSG00000189079,4.927975638849801e-07,1.3833095231085578e-07
11808,ENSG00000189091,5.200963313746706e-06,8.121985474040634e-05
11809,ENSG00000189114,2.6080030255461958e-06,7.354252106969136e-07
11810,ENSG00000189129,0.03891337511935975,0.03209096398281308
11811,ENSG00000189134,4.5775175777868327e-11,4.255083396124564e-09
11812,ENSG00000189136,1.3488557296468046e-12,8.346137078577424e-11
11813,ENSG00000189144,1.2240533862602194e-12,3.5050134145211655e-10
11814,ENSG00000189157,2.2034596803696135e-15,8.946624963869331e-13
11815,ENSG00000189159,5.833520006687966e-12,1.1613404875282753e-11
11816,ENSG00000189164,1.1986626704053116e-05,9.54960422621945e-06
