,Gene,Y0a,Y0b
11792,ENSG00000188976,1.5102208984170754e-09,2.0846309206760117e-08
11793,ENSG00000188981,4.202615807850468e-11,1.7361884643331415e-09
11794,ENSG00000188986,1.5234564517498387e-09,2.4810785274086932e-08
11795,ENSG00000188994,6.127718005990819e-05,0.0006801236590615869
11796,ENSG00000188997,7.647736254037023e-08,6.826782638350586e-07
11797,ENSG00000189007,5.93256264430718e-08,5.227252016212549e-07
11798,ENSG00000189042,4.834679036185227e-14,1.5664618343510454e-11
11799,ENSG00000189043,9.023298025710923e-10,2.9795509821455874e-08
11800,ENSG00000189046,6.062771998790632e-09,2.91853624919456e-08
11801,ENSG00000189050,1.1224221384163322e-11,1.0894604513865092e-09
11802,ENSG00000189056,5.284515364682119e-16,1.7379604663202211e-15
11803,ENSG00000189058,0.0002645633612613916,0.0003574128901071274
11804,ENSG00000189060,1.0799341141108588e-09,7.318115157090068e-10
11805,ENSG00000189067,0.0032008563534734686,0.004956604749763621
11806,ENSG00000189077,1.483956976948858e-05,6.421135444037423e-05
11807,ENSG00000189079,5.941602548058024e-07,7.235720651174714e-06
11808,ENSG00000189091,2.6654566004623804e-07,1.9069189639569143e-06
11809,ENSG00000189114,3.799223165702621e-15,1.289120308832728e-14
11810,ENSG00000189129,8.266561051004187e-13,2.1094394839682147e-10
11811,ENSG00000189134,7.74575056385965e-14,2.0368756265363297e-13
11812,ENSG00000189136,1.2486617032453015e-07,2.463845193106701e-06
11813,ENSG00000189144,1.1401113495344889e-15,1.1198681475582314e-12
11814,ENSG00000189157,2.7424146045882716e-07,2.0342466276088665e-06
11815,ENSG00000189159,7.598394553630385e-07,5.992488220643984e-06
11816,ENSG00000189164,2.9937509527093706e-14,1.6203517032386988e-11
11817,ENSG00000189171,0.07886994212686874,0.08729428770791049
11818,ENSG00000189180,3.6166313262270366e-09,4.808290462618931e-08
11819,ENSG00000189184,0.027721291595459534,0.02854652628078306
11820,ENSG00000189190,2.7959248543458927e-12,4.4871059024096183e-10
11821,ENSG00000189195,6.86605518135493e-07,5.412366995345449e-06
11822,ENSG00000189212,1.77913980457448e-06,1.456038026871606e-05
11823,ENSG00000189221,2.2279060447449536e-12,1.2477711588948745e-10
11824,ENSG00000189223,1.6188115611569093e-17,1.704946242847219e-16
11825,ENSG00000189227,0.0010030689309116433,0.0011211704844615914
11826,ENSG00000189241,2.2846896059476363e-07,2.3342346972583764e-06
11827,ENSG00000189266,1.1100082170440917e-08,2.008292480364585e-07
11828,ENSG00000189275,0.00040791520088772644,0.000733890016257513
11829,ENSG00000189283,1.976711111993036e-05,4.8847201191991474e-05
11830,ENSG00000189298,1.2402538637908361e-08,1.52037785785636e-07
11831,ENSG00000189306,5.0439402493348985e-21,7.523126928781254e-19
11832,ENSG00000189308,0.020420823049954753,0.011743523661626927
11833,ENSG00000189319,0.00016163494755071106,0.0010196372962986437
11834,ENSG00000189337,0.011236105640093936,0.018333309376582466
11835,ENSG00000189339,9.85118497395261e-12,1.0475882707601896e-09
11836,ENSG00000189350,7.360396018321404e-20,6.007892429986059e-18
11837,ENSG00000189362,6.215370595435322e-09,5.884152724027552e-08
11838,ENSG00000189369,2.6408604009346357e-12,1.0680489422718016e-10
11839,ENSG00000189376,1.5485633156519472e-14,1.2369770612605745e-11
11840,ENSG00000189403,0.00021968205161467934,0.0007808140530115618
11841,ENSG00000189410,0.0022454396582796436,0.0024920148802279785
11842,ENSG00000189420,5.620625523430333e-06,2.4071553414648133e-05
11843,ENSG00000189423,4.491331547848528e-12,1.8122942817045608e-10
11844,ENSG00000196071,1.999765211289196e-18,6.193275496286985e-17
11845,ENSG00000196072,8.704609644365542e-06,3.260696089844893e-05
11846,ENSG00000196074,4.001911798368348e-11,4.5113557077820943e-11
11847,ENSG00000196083,0.00446033502322472,0.005338973895033707
11848,ENSG00000196090,0.006425760045503925,0.020648063537370087
11849,ENSG00000196091,4.761803199455503e-05,0.0002571230271134942
11850,ENSG00000196104,0.006238945216407193,0.019364660609872998
11851,ENSG00000196116,0.10692572519857216,0.0871353453273847
11852,ENSG00000196123,0.004747143073766946,0.009320744999421803
11853,ENSG00000196126,0.9020452933501762,0.8893204470518358
11854,ENSG00000196132,4.479870532983711e-05,0.00020241352861126655
11855,ENSG00000196141,2.0383386678320975e-17,1.124429792609547e-15
11856,ENSG00000196150,1.1830037022779108e-12,2.9441727650292577e-10
11857,ENSG00000196151,1.0850772902139251e-11,2.910215990947977e-10
11858,ENSG00000196152,1.1999332089020676e-14,3.770406301784745e-12
11859,ENSG00000196154,1.4715721864386907e-05,8.974515173963087e-05
11860,ENSG00000196155,5.2587797384689673e-08,1.9468104505430533e-06
11861,ENSG00000196159,0.0004498192185054699,0.0011594786566600176
11862,ENSG00000196167,1.4096996122508358e-06,9.154037422523152e-06
11863,ENSG00000196169,9.580989209473264e-06,7.610218900092296e-05
11864,ENSG00000196172,5.3027476710770406e-05,0.00013585494556309267
11865,ENSG00000196177,0.0034934506808488278,0.01620479109464211
11866,ENSG00000196182,8.697024728403874e-06,0.000101305146710036
11867,ENSG00000196187,6.205278359750523e-07,7.016093041063327e-06
11868,ENSG00000196189,2.0495189201978437e-08,3.6862696294660276e-07
11869,ENSG00000196199,1.4507426173295128e-06,1.1163996181725899e-05
11870,ENSG00000196204,3.0037738997387304e-10,1.451174509801284e-08
11871,ENSG00000196205,0.0004947184481176666,0.001367360305941211
11872,ENSG00000196208,4.6901852147418115e-06,1.924731829191962e-05
11873,ENSG00000196214,1.5162650699793947e-09,1.6388610160572272e-07
11874,ENSG00000196218,6.3925773314868005e-06,2.4021931426369127e-05
11875,ENSG00000196220,3.769384909348708e-06,8.489226627050166e-06
11876,ENSG00000196227,0.002058193740010823,0.014410879879573051
11877,ENSG00000196230,0.00012897154479675255,0.0005198598993654298
11878,ENSG00000196233,6.867959055153871e-12,3.796072834342793e-10
11879,ENSG00000196235,0.00012769862760196127,0.0009425573886816896
11880,ENSG00000196236,0.00028289579110953603,0.0009942950883770744
11881,ENSG00000196247,7.468116683525203e-15,5.4446341690688e-12
11882,ENSG00000196262,1.5603825459031803e-08,3.847755850676995e-07
11883,ENSG00000196263,6.57662049197215e-09,7.796379906779029e-08
11884,ENSG00000196267,0.0007517085377407941,0.002268577570714979
11885,ENSG00000196268,2.333845892207985e-11,2.248547629181229e-09
11886,ENSG00000196275,1.33299432255384e-08,1.624062684488286e-07
11887,ENSG00000196277,2.1389084346084172e-11,2.4385287574149533e-10
11888,ENSG00000196284,1.0082557817150287e-11,1.3526065428549939e-09
11889,ENSG00000196290,3.091935399467745e-05,8.258575198954489e-05
11890,ENSG00000196295,2.2000738512426867e-12,6.575810991313702e-12
11891,ENSG00000196305,1.073329825318423e-10,9.61081005767654e-09
