,Unnamed: 0,GeneSymb,MeanPval,OR,Pval,Y,Score (OR*MV),Score,Evidence
120,126,SH3D19,-1.981795329,2.151315177,0.000194495,0.992991415,4.26346637,-4.263466369,0
121,9,USP28,-2.235556899,1.898754166,9.70E-05,0.987531994,4.244772976,-4.244772975,0
122,2,LAT2,-2.151690151,1.957013821,0.000773109,0.989080125,4.210887365,-4.210887364,0
123,280,PICALM,-2.649204157,1.58748943,7.41E-05,0.974798555,4.205583598,-4.205583597,1
124,82,DNM1,-2.042542957,2.055552175,0.000253134,0.991277458,4.198553618,-4.198553618,0
125,146,RCAN3,-2.152134953,1.947440457,0.000147454,0.988839457,4.191154677,-4.191154676,0
126,218,NADSYN1,-2.377013476,1.746675463,6.64E-05,0.982396009,4.151871115,-4.151871114,0
127,111,TMEM97,-1.799706802,2.301587822,0.00414894,0.99503123,4.142183258,-4.142183259,0
128,221,NFYB,-1.999820242,2.042697255,0.000531186,0.99101777,4.085027318,-4.085027319,0
129,229,TP53TG5,-2.060358938,1.971796998,0.000544909,0.989441719,4.062609568,-4.062609569,0
130,34,MRPL34,-2.22393447,1.818776482,0.00128988,0.985048623,4.044839711,-4.044839712,0
131,189,FRS2,-2.178309691,1.852987782,0.000102949,0.986165545,4.036381243,-4.036381243,0
132,41,AZGP1,-1.58301944,2.539918462,0.00102742,0.997123724,4.020740301,-4.020740301,0
133,259,PTPRN,-1.958794333,2.041098556,0.000625486,0.990984943,3.998092285,-3.998092285,0
134,130,MEF2C,-2.690984844,1.483861983,0.000296842,0.968222963,3.993050107,-3.993050107,1
135,131,PFN1,-1.952067044,2.041092077,0.00141543,0.990984809,3.984348577,-3.984348577,0
136,206,AATK,-2.101843553,1.894906774,0.000263132,0.987422445,3.982797588,-3.982797586,0
137,243,YWHAE,-2.433004952,1.612182789,0.000143817,0.976158287,3.922448709,-3.922448709,0
138,39,RNASEH1,-2.375918946,1.63988149,0.000986382,0.977598402,3.8962255,-3.896225501,0
139,200,ID1,-1.297981946,2.961012519,0.00416029,0.998907271,3.843340791,-3.843340792,0
140,59,CD2AP,-3.218602424,1.164921329,8.74E-05,0.93597592,3.749418612,-3.749418613,1
141,110,EFS,-2.158845851,1.704730666,0.000642314,0.980645525,3.680250724,-3.680250725,0
142,185,CELF1,-1.336304853,2.707532609,0.000467337,0.998042884,3.618088964,-3.618088965,1
143,236,LPCAT2,-2.293010349,1.552987592,3.72E-05,0.972771529,3.56101662,-3.56101662,0
144,153,TREM2,-2.339653915,1.493902391,0.000532112,0.96892662,3.495214577,-3.495214578,0
145,79,CNTN2,-2.138991929,1.629085014,0.000250122,0.977047466,3.484599697,-3.484599697,0
146,269,EWSR1,-2.030517907,1.711450568,0.000749664,0.98093703,3.475131025,-3.475131025,0
147,140,CD74,-2.11712849,1.640148657,0.00058452,0.977611871,3.47240545,-3.47240545,0
148,69,RASGRP2,-2.27582178,1.510049419,0.000405655,0.97002672,3.436603358,-3.436603357,0
149,100,STARD9,-2.038369833,1.685098925,7.64E-05,0.979768661,3.434854814,-3.434854814,0
150,281,HLA-DMA,-1.697595482,2.009272367,0.00286988,0.990306132,3.410931693,-3.410931692,0
151,10,LRRC49,-2.378799289,1.43308829,8.56E-05,0.964422214,3.409029404,-3.409029405,0
152,203,GDPD1,-1.711024232,1.956342181,5.99E-05,0.989063409,3.347348878,-3.347348878,0
153,114,POLR2E,-1.86231654,1.7719537,0.00315002,0.983374857,3.299938684,-3.299938684,0
154,277,HCK,-1.434982143,2.284280306,0.00453704,0.99483026,3.277901447,-3.277901449,0
155,98,CSRNP2,-1.940213729,1.688150784,0.00030218,0.979907485,3.275373328,-3.275373328,0
156,186,LAMP1,-2.071419195,1.577485222,0.00088113,0.974226424,3.267633169,-3.267633169,0
157,205,AVPI1,-2.030224864,1.605024325,0.000244884,0.975771648,3.258560292,-3.258560292,0
158,26,ADH5,-2.66757391,1.214635643,0.000164037,0.942502761,3.240130352,-3.240130351,0
159,92,THEM5,-1.862988173,1.698993834,0.00164084,0.980393212,3.165205417,-3.165205419,0
160,261,ZNF366,-1.929314619,1.619832749,0.00288682,0.976564818,3.125167003,-3.125167003,0
161,147,DDX60,-2.921778754,1.054960654,8.84E-05,0.919022307,3.082361625,-3.082361625,0
162,117,COL4A4,-2.731845683,1.124794615,6.78E-05,0.930211018,3.072765313,-3.072765313,0
163,225,HLA-DRB5,-1.615492418,1.877063729,0.000229532,0.986901842,3.032382223,-3.032382222,1
164,226,FIBIN,-2.23013345,1.35748812,0.00210864,0.95794177,3.027379664,-3.027379664,0
165,75,EIF4E1B,-1.993046193,1.515321148,0.000536444,0.970377641,3.020105045,-3.020105045,0
166,107,TARS2,-1.536114399,1.956238506,0.00226457,0.989060827,3.005006136,-3.005006137,0
167,48,ALS2CL,-2.088801857,1.436269089,0.000267367,0.964672664,3.000081541,-3.00008154,0
168,238,ZNF681,-2.017920324,1.45685266,0.000886916,0.966252773,2.939812592,-2.939812592,0
169,148,DSN1,-1.562642912,1.840552509,0.00436938,0.985769413,2.876126332,-2.876126332,0
170,51,SDE2,-2.031405389,1.404477356,0.000943965,0.962091297,2.853062869,-2.85306287,0
171,84,FAM13C,-2.451346211,1.14884893,6.12E-05,0.933722104,2.816226471,-2.816226472,0
172,128,TMEM50B,-2.416676685,1.158555241,7.98E-05,0.935091878,2.79985344,-2.799853439,0
173,28,CDH1,-2.667297325,1.04839261,0.000161421,0.917889657,2.796374804,-2.796374804,0
174,166,TMCC3,-2.860259965,0.962703541,0.000177468,0.901739789,2.753582397,-2.753582396,0
175,246,MATN3,-1.895195117,1.439307769,0.000430072,0.964910338,2.727769055,-2.727769056,0
176,223,CHAF1B,-2.237019005,1.171946508,0.0001984,0.936938462,2.621666611,-2.621666611,0
177,201,ABCA7,-1.861711373,1.376227329,0.0036076,0.959646255,2.56213807,-2.56213807,1
178,253,ARNT2,-3.023641458,0.789413531,9.52E-05,0.860288934,2.38690348,-2.38690348,0
179,187,CLU,-2.339210415,0.99089444,0.000475619,0.907343229,2.317910595,-2.317910594,1
180,176,MTMR12,-2.433915129,0.937794736,7.50E-05,0.896539474,2.282512796,-2.282512796,0
