,GeneSymb,MeanPval,OR,Pval,Y,Score
63,RHEBL1,-1.9551951269396637,-5.112375845648528,0.000348846,7.720062237828774e-06,9.984838298401911
64,IFT80,-2.5070607741271016,-2.9399296356134834,0.00014987,0.0011470224889873779,11.605418861249518
65,CLIP2,-2.325760889738926,-7.760391387292621,6.08967e-05,1.736235393553121e-08,6.966256993958556
66,ERMARD,-2.1039236969362944,-4.729136397010913,0.00028127,1.8657588057746694e-05,10.219349177042897
67,CD44,-3.0377260494878353,-4.536662263183256,0.000116345,2.9061974353223946e-05,9.478020958319012
68,CD46,-2.0885938730468108,-1.6625654908720182,0.000272903,0.021285820212601128,13.301249907071275
69,CA11,-2.1617624516639125,-7.790036171399763,0.000714183,1.621674999810769e-08,7.100610647926429
70,ATG4C,-2.678553532766566,0.2308504926172733,8.29146e-05,0.6298452290549882,14.604706230840812
71,PLB1,-2.8054593993618053,-2.981145300769756,7.1704e-05,0.001043281176028957,11.265804570858542
72,CAMKV,-1.3978555310881036,-2.883393318160969,0.000707165,0.0013062881802817104,12.771160421741031
73,CALY,-1.9565486266834498,-2.2475300950588326,0.000986777,0.005623681005087547,12.848330549247821
74,NIPAL2,-2.1371284713155627,-3.7063679907595666,0.000137804,0.00019658330208527735,11.208912808914974
75,EIF4E2,-2.2831893643286314,1.0983339991310932,8.86734e-05,0.9261504988758212,15.867553905792565
76,PNP,-2.1655709442921878,-1.5756648941798346,0.00152182,0.025879030251244845,13.311173432518082
77,SERP1,-2.204746919234957,-2.447529898304204,0.00124123,0.0035556838235901974,12.400132453450944
78,SYBU,-2.313955354625844,-0.29516093914509234,0.000179859,0.3363431782684243,14.443292977219167
79,HLA-DMA,-1.6975954822009096,-6.0327909169572935,0.00286988,9.272752760345831e-07,9.322022871831901
80,PCK2,-2.181599495214369,-3.387273096139449,0.00127837,0.0004097782495641844,11.483536679636286
81,CD74,-2.117128489661213,3.4003868611156043,0.00058452,0.9996024054420155,18.335667642444495
82,DHX29,-2.059280876873336,-6.2212839598206875,0.00018332,6.007804325929652e-07,8.771844434296082
83,PPP2R3A,-3.2065987446614894,-0.1291786561977236,1.92492e-05,0.4261822298037853,13.716631870130891
84,RCBTB1,-3.300303937049166,-6.170597709670674,3.84672e-05,6.751526818601612e-07,7.581507624270264
85,ATG3,-2.5383915148209346,-4.571001164181675,0.000108198,2.685265138835374e-05,9.943016591987494
86,PLEKHH2,-2.8207904140123605,-1.4167266407313548,6.96096e-05,0.03689332127329463,12.814892216246388
87,PLEKHH1,-2.1828916449329143,-3.8638986440413663,0.000223776,0.00013678609344334303,11.005618982015823
88,FAM84B,-2.3620607383805936,-1.559095353335396,0.000638061,0.0268584329471094,13.131253179274115
89,C2orf50,-2.6411193758919262,-1.942626633684355,5.52931e-05,0.011283533778072282,12.468663261413823
90,PRX,-2.0484479573494347,-3.3076698986882587,0.000799924,0.0004921713185048292,11.69629141495241
91,CRISPLD2,-2.8853656786204556,-4.250936111300317,7.62142e-05,5.6109903242526266e-05,9.916107481069332
92,RFFL,-2.1286965642360025,-0.8896347945467025,0.000105138,0.11420810082308533,14.0340779122074
93,FAM69C,-2.269169711245984,-1.5930938623517705,0.0004735,0.024886359433292714,13.19014569739235
94,KHNYN,-2.1341041612090255,-4.980990413583577,0.00108281,1.0447323653772128e-05,9.9373146961975
95,PDE8B,-3.0485724564958203,-0.07420357083171264,0.000135006,0.45738860399939896,13.929633243662572
96,DBH,-2.1449745219304437,-4.113660051654346,0.000190434,7.696734762285388e-05,10.793774697405315
97,APP,-2.3384467937133615,0.5574356360692427,0.000821557,0.7830522674580316,15.271398113345985
98,RFX2,-2.1002191202573663,0.8990783364179663,0.00017357,0.8879732935975296,15.851268487150705
99,ELK3,-2.301038437684038,-3.358367439118008,0.000415617,0.0004379679315194705,11.393003394188058
100,CD300A,-2.033793958949972,-1.3662409415030794,0.000781427,0.041253686647753154,13.652374370537053
101,PAK1,-3.4358666394277857,-1.585732655113048,4.46698e-05,0.02530101015052777,12.03080997644927
102,PAPLN,-2.145217686570657,-1.1926754693691515,0.000356924,0.06029953621361719,13.714516115050296
103,IL10RA,-2.252525872724289,-2.314104293519877,0.00043014,0.0048282942165144786,12.485779104745937
104,TBR1,-2.0571405643613008,0.7272966462657456,0.00189161,0.8421964526976468,15.722565352894549
105,YTHDF1,-2.2720524619628595,-2.3579523473685273,0.000476434,0.004366637033537413,12.422404461658717
106,NT5DC3,-3.0845215290771466,-4.846547312353595,7.17427e-05,1.423791854957468e-05,9.121340429559362
107,ZNF599,-2.014652059974314,-0.3842071455049824,0.000588827,0.29221104896745936,14.653550065510808
108,ZFR2,-2.113349683139261,-4.935390492848093,0.000212425,1.160391309551101e-05,10.00366909500275
109,GABRA1,-2.2555138653172357,-1.327779973551377,0.000144493,0.044902224806045055,13.469115432121491
